count,30112018,3122018,4122018,5122018,7122018,10122018,12122018,13122018,14122018,15122018
tiffin,,0.0,,,3.0,3.0,22.0,49.0,45.0,65.0
lunch,0.0,8.0,0.0,0.0,113.0,64.0,2.0,43.0,65.0,21.0
dinner,,8.0,7.0,3.0,,,3.0,,,
